group,n_blocks,n,n_flags,digest,bytes_header,bytes_payload,samples,p_c,p_v
00NA/east,11,3185,0,a6de7274dc8d72ec824407486d562fbcc8a7cab2f8ed8fdf05e3ca2a8b9ad18e,4457,41496,3185,0.832043242638734,0.03652715746627771
00NA/north,11,3185,0,a2627996854ff34dc8fd538bc7bd048c581b9a82c180bcdf7538609b43065211,4503,41496,3185,-0.2856338918206993,0.05944064474514742
00NA/up,11,3185,0,be15fcbaa5abb16f9507c2116bcc6c44e071ae45859a591323a14ca19ab21d16,4472,41496,3185,0.8531924783357322,-0.0008366831189987351
01NA/east,10,2360,0,cbf94d11d56c7909f6c479288a44e58fec528b30f6f44d781c6abd040c4d2397,4091,33440,2360,-0.7216150458386227,0.0353530855082515
01NA/north,10,2360,0,1028e37747d6d429bee499acb5764b0e85e2ff573cfc6e34cf989cebf4987d16,4098,33440,2360,-0.7624949603992818,0.059052150387563826
01NA/up,10,2360,0,726e3643f63ffd69a5692b9b56d95af83a79d0e398b2bc25f017d39376daec01,4077,33440,2360,0.39857947407886807,-0.003492693354240272
02NA/east,7,1903,0,e4c9861c39b8b83bb88dfff6071c1906c076e5b151a1554f36d50f962449475b,2859,25416,1903,-0.22386588506997315,0.03621986472759519
02NA/north,7,1903,0,25169a8d7d4d79d30084010dfb3957a6e64047b8c42fe5c1e70e28b8291325e2,2858,25416,1903,-0.14127295244469798,0.0592834949188149
02NA/up,7,1903,0,5a8a35f7942461bf574c383d652e520bc866a62cb0d0e55ff3d6e247504074e5,2835,25416,1903,0.658260061706743,-0.0013394696607231448
0ABI/east,18,6078,0,d3a2c74bda8d02a3727ac5154a0d14b2222fc22cc634c8ffaa77a4021866d6d0,7318,74832,6078,0.04965102296790097,0.015211504803206224
0ABI/north,18,6078,0,898803e578c4b7948679537c982d64a5040f3c5384881a11b9b988630724a497,7373,74832,6078,0.37564998062908167,0.014933633252606444
0ABI/up,18,6078,0,746bab2baf49441890618baf1ee27fd26d6f5ff1365cc4ad6421fa0b668836e3,7347,74832,6078,0.3237232884834424,0.005474492296494942
0ABN/east,4,1206,0,7001b0d2d9b3256b01bdfd779225f4c608b73528cfc37b4d8313fe8c7314deef,1640,15472,1206,0.3201942313581183,0.015356538569123366
0ABN/north,4,1206,0,97d0ed649fc01c9ddf7056dc8a9399c8dc3f541844145ee1c66f56c9424a08c0,1640,15472,1206,0.36713032115461286,0.01649770708982902
